prompt_id	class	n_prompt	n_gen_raw	n_gen_trimmed	trim_idx	W_mean	W_std	S	n_fired
F01	fire	42	256	256	-1	0.08235312	0.05606948	0.722656	185
F02	fire	42	256	256	-1	0.09459227	0.06000013	0.757812	194
F03	fire	46	256	256	-1	0.02034227	0.04029119	0.218750	56
F04	fire	46	256	256	-1	0.01724196	0.03860080	0.171875	44
F05	fire	42	256	256	-1	0.08945240	0.06237710	0.718750	184
F06	fire	45	256	256	-1	0.07683502	0.05843371	0.675781	173
F07	fire	44	256	256	-1	0.01924455	0.03995453	0.199219	51
F08	fire	44	256	256	-1	0.08476233	0.05779512	0.726562	186
F09	fire	47	256	256	-1	0.09670203	0.06280992	0.765625	196
F10	fire	47	256	256	-1	0.09936750	0.05195080	0.820312	210
N01	nofire	42	256	256	-1	0.00000000	0.00000000	0.000000	0
N02	nofire	45	256	256	-1	0.00291792	0.01933856	0.023438	6
N03	nofire	44	256	256	-1	0.00000000	0.00000000	0.000000	0
N04	nofire	48	256	256	-1	0.00137083	0.01265606	0.011719	3
N05	nofire	48	256	256	-1	0.00075871	0.00856937	0.007812	2
N06	nofire	47	256	256	-1	0.00000000	0.00000000	0.000000	0
N07	nofire	44	256	256	-1	0.00000000	0.00000000	0.000000	0
N08	nofire	50	256	256	-1	0.01935440	0.04334983	0.175781	45
N09	nofire	49	256	256	-1	0.00000000	0.00000000	0.000000	0
N10	nofire	50	256	256	-1	0.00809186	0.02752544	0.082031	21
